Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab L-Arginine 750 mg, 100капс";Аргинин;Аминокислоты;"Индивидуальная непереносимость, беременность, возраст до 12 лет.
";;;https://kultlab.ru/catalog/arginin/kultlab-l-arginine-750-mg-100-kaps/;;"В качестве пищевой добавки принимайте по 1 капсуле 2-3 раза в день по мере необходимости, желательно с соком или водой на голодный желудок, перед тренировкой или перед сном.";"Размер одной порции                                        : 1 капсулаАргинин - условно-незаменимая аминокислота, которая является носителем и донатором азота. Он необходим в синтезе мышечной ткани, именно эта функция явилась главным фактором распространения аргинина в бодибилдинге. Аргинин способствует увеличению мышечной массы и уменьшению жиров при адекватной физической нагрузке.Рекомендации по применению:В качестве пищевой добавки принимайте по 1 капсуле 2-3 раза в день по мере необходимости, желательно с соком или водой на голодный желудок, перед тренировкой или перед сном.iИндивидуальная непереносимость, беременность, возраст до 12 лет."
"Kultlab AAKG, 200 гр";Аргинин;Аминокислоты;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Женщинам не рекомендуется использовать продукт в период беременности и грудного вскармливания. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";;;https://kultlab.ru/catalog/arginin/kultlab-aakg-200-gr/;;Смешайте 1 порцию (2 мерные ложки) с 1 стаканом воды (200-300 мл). Для получения наилучшего эффекта принимать по одной порции до тренировки.;"Размер одной порции                                        : 2 мерных ложки - 5 грKULTLAB AAKG - спортивная добавка, которая способствует ускорению роста мышечной массы, повышению силовых показателей и выносливости. Приём перед тренировкой значительно увеличивает рост мышц, мышечную силу и спортивную выносливость, так как повышает уровень оксида азота.Рекомендации по применению:Смешайте 1 порцию (2 мерные ложки) с 1 стаканом воды (200-300 мл). Для получения наилучшего эффекта принимать по одной порции до тренировки.iПродукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Женщинам не рекомендуется использовать продукт в период беременности и грудного вскармливания. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!"
"Kultlab Beta-Alanine, 300 гр
";Бета-аланин;Аминокислоты;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/beta-alanin/kultlab-beta-alanine-300-gr/;;"Принимайте по 1-2 мерной ложке за 20-30 минут до тренировки, запивая соком или вместе с вашим предтренировочным комплексом. В нетренировочные дни принимайте по 1 мерной ложке дважды в день, вне зависимости от приёмов пищи.
Начните приём с половины порции (1/2 мерной ложки) два раза в день для проверки переносимости продукта. Приём бета-аланина может приводить к ощущениям покалывания кожи, которые проходят через несколько минут.";"Размер одной порции                                        : 1 мерная ложка - 2 грAlanine - это аминокислота, которая увеличивает уровень карнозина в мышцах, что, в свою очередь, приводит к замедлению закисления мышечных волокон. Также Бета-Аланин увеличивает сократительную способность мышц. Исходя из вышеизложенного можно сделать вывод, что Бета-Аланин:• увеличивает выносливость;• увеличивает силовые показатели;• предотвращает наступление перетренированности.Вы можете существенно увеличить положительные эффекты Бета-Аланина, если будете сочетать его с креатином, донаторами окиси азота, глютамином и ВСАА.Рекомендации по применению:Принимайте по 1-2 мерной ложке за 20-30 минут до тренировки, запивая соком или вместе с вашим предтренировочным комплексом. В нетренировочные дни принимайте по 1 мерной ложке дважды в день, вне зависимости от приёмов пищи.Начните приём с половины порции (1/2 мерной ложки) два раза в день для проверки переносимости продукта. Приём бета-аланина может приводить к ощущениям покалывания кожи, которые проходят через несколько минут.iИндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Amino Mix, 300 гр Чёрная смородина
";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Бабл-Гам
";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Апельсин";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Вишня";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Ананас";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab Amino Mix, 300 гр Яблоко";BCAA;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/139164741/detail.aspx;https://kultlab.ru/catalog/bcaa/kultlab-amino-mix-300-gr/;;"Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.";"Размер одной порции                                        : 10 грамм / 1,5 мерные ложкиKultlab Amino Mix — Уникальный комплекс аминокислот.ВСАА — комплекс, состоящий из незаменимых аминокислот с разветвленной цепочкой: L-лейцина, L-валина, L-изолейцина.На их долю приходится 42% от общего количества незаменимых аминокислот, которые присутствуют в мышечной ткани.При интенсивных тренировках именно их запасы существенно истощаются. BCAA предотвращают катаболизм за счет подавления выработки гормона кортизола и способствуют росту мышц. Поэтому прием ВСАА является рациональным решением для спортсменов.В состав Kultlab Amino Mix входят еще несколько важных аминокислот и витамин С:? L-глютамин уменьшает утомляемость и укрепляет иммунитет;? L-цитруллин увеличивает секрецию гормона роста, улучшает кровоснабжение мышц, обеспечивает пампинг и транспортировку питательных веществ в мышцы;? Бета-аланин снижает болевой порог и увеличивает выносливость, благодаря чему в спортзале ты больше напоминаешь машину, чем человека;? L-гистидин — это незаменимая аминокислота, которая ускоряет заживление ран, координирует механизмы роста, регулирует процессы восстановления, участвует в выработке гемоглобина, регулирует кислотность крови;? Витамин С замедляет старение, снижает риск развития хронических болезней, укрепляет иммунитет, улучшает усвоение железа, защищает сердечно-сосудистую систему.Kultlab Amino Mix отлично подойдет бодибилдерам и спортсменам, которые занимаются функциональными тренировками.Применение: смешайте 1.5 мерные ложки (10 г) с водой или любым другим напитком и принимайте за 20-30 минут до тренировки и сразу после, либо во время тренировки.iИндивидуальная непереносимость компонентов добавки."
"Kultlab BCAA, 300 гр Манго";BCAA;Аминокислоты;"Индивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью.";;;https://kultlab.ru/catalog/bcaa/kultlab-bcaa-300-gr/;;1-2 порции в день. Смешать одну порцию продукта (2 мерные ложки) с 200-300 мл воды;"Размер одной порции                                        : 2 мерные ложки100% BCAA КУЛЬТЛАБ - это кристально чистые порошковые Л-аминоксилоты БЦАА в соотношении 2:1:1 (Л-лейцин, Л-валин, Л-изолейцин).Аминокислоты БЦАА одна из самых полезных и эффективных добавок для спортсмена. Незаменимые аминокислоты не могут вырабатываться в организме. Получить их можно только полноценной белковой пищи.БЦАА (3 основные аминокислоты, L-лейцин, L-валин и L-изолейцин), которые непосредственно связаны с мышечным ростом и ускорением восстановления после физических нагрузок. Это проверенная формула, чтобы стимулировать синтез белка. Принимая БЦАА во время или после тренировки вы предотвращаете потерю мышечной массы и улучшаете весь процесс восстановления мышц. БЦАА также помогают уменьшить боли в мышцах и повышают запасы гликогена.Аминокислоты с разветвленной цепью (БЦАА) имеют особое значение для спортсменов, потому что они метаболизируються в мышцах, а не в печени.iИндивидуальная непереносимость. Не рекомендуется для детей до 18 лет, во время беременности и кормления грудью."
