Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Big Pig Жиробой 3000, 90 капс";Жиросжигатели;снижение веса;"Индивидаульная непереносимость препарата, беременность. Перед применением необходимо проконсультироваться со специалистом!";;;https://kultlab.ru/catalog/zhiroszhigateli/big-pig-zhiroboy-3000-90-kaps/;;принимайте 1 капсулу за 30-60 минут до завтрака и 1 капсулу за 30-60 минут до обеда. Начинайте принимать по 1 капсуле в день в течении недели.;"Размер одной порции                                        : 1 капсулаЖиробой 3000 - это сумасшедший, до мурашек по коже бушующий состав компонентов, сожрет твой жир за долю секунд! Обесточит тягу к непреодалимому зажору! Умопомрачительный шквал мощи препарата, даст тебе осознать, что ты избранный, и еще посмотрим, кто здесь Жирный! Жиробой! Больше, чем просто жиросжигатель!Экстракт зерен зеленого кофе оказывает мощное ингибирующее действие на высвобождение глюкозы в организм, одновременно, ускоряя метаболизм, что в свою очередь способствует сжиганию жира.Гуарана придает энергию, увеличивает производительность,способствует ментальной концентрации, ускоряет распад жира.Пиколинат хрома восполняет в организме дефицит хрома, нормалтзует липидный обмен и снижает содержание глюкозы в крови.Йохимбин 8 % позволяет тренироваться более интенсивно и продолжительно. К тому же, вызываемая веществом блокада альфа-адренорецепторов способствует более эффективному расщеплению жира.Экстракт герани - влияет на настроение и эмоции, увеличивает ментальную сосредоточенность.Экстракт Артишока является источником гидроксикоричныхкислот для улучшения функционального сосотоянияпечени, секреции и оттока желчи, пищеварения.5-htp дает положительные результаты во время похудения, так как снижает уровень тревоги и депрессии. Он улучшает сон и уменьшает тягу к углеводам.Рекомендации по применению:принимайте 1 капсулу за 30-60 минут до завтрака и 1 капсулу за 30-60 минут до обеда. Начинайте принимать по 1 капсуле в день в течении недели.iИндивидаульная непереносимость препарата, беременность. Перед применением необходимо проконсультироваться со специалистом!"
"Kultlab Kult Xtreme, 90капс";Жиросжигатели;снижение веса;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;;https://kultlab.ru/catalog/zhiroszhigateli/kultlab-kult-xtreme-90-kapsul/;;Принимайте 1 капсулу за 30-60 минут до завтрака и 1 капсулу за 30-60 минут до обеда. Начинайте принимать по 1 капсуле  в день в течении недели. Не принимайте более 4 капсул в день;"Размер одной порции                                        : 1 капсулаЭто мощный жиросжигатель оказывает мягкий и продолжительный эффект в течение 5-6 часов. Kult  Xtreme – умеренно выводит воду из организма, понижает аппетит, оказывает сильный термогенный эффект. Это замечательный жиросжигатель подойдёт для людей среднего телосложения. Kult  Xtreme – заметно выделит рельеф на Вашем теле в кротчайшие сроки.Принимайте 1 капсулу за 30-60 минут до завтрака и 1 капсулу за 30-60 минут до обеда. Начинайте принимать по 1 капсуле  в день в течении недели. Не принимайте более 4 капсул в деньiИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!"
"Kultlab Kult Medium, 90 капс";Жиросжигатели;снижение веса;"Продукт не является лекарственным средством.Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";;;https://kultlab.ru/catalog/zhiroszhigateli/kultlab-kult-medium-90-kaps/;;Принимайте 1 капсулу за 30-60 минут до завтрака и 1 капсулу за 30-60 минут до обеда. Начинайте прием с одной капсулы в день в течение недели. Не принимайте более 4 капсул в сутки.;"Размер одной порции                                        : 1 капсулаКомпания КультЛаб объединила силу семи самых популярных ингредиентов в одной мощной эффективной формуле для достижения быстрых результатов!- Экстракт зерен зеленого кофе оказывает мощное ингибирующее действие на высвобождение глюкозы в организм, одновременно ускоряя метаболизм, что способствует сжиганию жира.- Гуарана придает энергии, увеличивает производительность, способствует ментальной концентрации, ускоряет распад жиров.- Пиколинат хрома восполняет дефицит хрома в организме, нормальзует липидный обмен и снижает содержание сахара в крови.- Йохимбин 8% позволяет тренироваться дольше и интенсивнее. К тому же вызываемая веществом блокада альфа-адренорецепторов способствует более эффективному сжиганию жира.- Экстракт герани влияет на настроение и эмоции, увеличивает ментальную сосредоточенность.- Экстракт артишока добавляют как источник гидроксикоричных кислот для улучшения функционирования печени, секреции и оттока желчи и пищеварения.- 5-Гидрокситриптофан (5-НТР) дает положительные результаты в процессе похудения  путем снижения уровня тревоги и депрессии. Улучшает сон и уменьшает тягу к сладкому.Применение: Принимайте 1 капсулу за 30-60 минут до завтрака и 1 капсулу за 30-60 минут до обеда. Начинайте прием с одной капсулы в день в течение недели. Не принимайте более 4 капсул в сутки.iПродукт не является лекарственным средством.Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!"
"Kultlab Chromium Picolinate, 100 капс";Жиросжигатели;снижение веса;"Продукт не является лекарственным средством.Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";;;https://kultlab.ru/catalog/zhiroszhigateli/kultlab-chromium-picolinate-100-kaps/;;"Принимать по 1 таблетке в день, предпочтительно во время еды. Используйте этот продукт в сочетании со здоровой, сбалансированной диетой.";"Размер одной порции                                        : 1 капсХром является важным минеральным веществом, который помогает сохранить стабильный уровень сахара в крови, что позволяет избежать образование жировых отложений, вследствие утилизации излишков глюкозы, а также содействует обмену веществ. В изготовлении этих средств используется 100% чистый пиколинат хрома, это соединение хрома легко усваивается организмом и включается общие метаболические процессы.Рекомендации по применениюПринимать по 1 таблетке в день, предпочтительно во время еды. Используйте этот продукт в сочетании со здоровой, сбалансированной диетой.iПродукт не является лекарственным средством.Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!"
"Kultlab Lipo Slim, 90 капс";Жиросжигатели;снижение веса;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/257588892/detail.aspx;https://kultlab.ru/catalog/zhiroszhigateli/kultlab-lipo-slim-90-kaps/;;"принимать по 2 капсулы за 30 минут до завтрака и 2 капсулы за 30 мин до обеда. Начинать с 2 капсул в день в течении недели, не принимать более 6 капсул в день.";"Размер одной порции                                        : принимать по 2 капсулы за 30 минут до завтрака и 2 капсулы за 30 мин до обеда. Начинать с 2 капсул в день в течении недели, не принимать более 6 капсул в день.LipoSlim - формула препарата составлена из высокоэффективных компонентов, которые усиливают метаболические процессы, ускоряют расщепление липидов и усвоение их организмом, способствуя трансформации жировых отложений в энергетический запас. В результате снижается количество жировых отложений, повышается уровень энергии (необходимый для интенсивных тренировок), притупляется чувство голода, усиливается метаболизм, что способствует формированию красивого мышечного рельефа.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab L-Carnitine, 100гр Фруктовый пунш";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Натуральный";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Чёрная смородина";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Апельсин";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Яблоко";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
